School,Team,City,State,Type,Primary Conference
Abilene Christian University,Wildcats,Abilene,Texas,Private/Churches of Christ,Southland Conference
University of Akron,Zips,Akron,Ohio,State,Mid-American Conference
University of Alabama,Crimson Tide,Tuscaloosa,Alabama,State,Southeastern Conference
Alabama Agricultural and Mechanical University,Bulldogs and Lady Bulldogs,Huntsville,Alabama,State,Southwestern Athletic Conference
University of Alabama at Birmingham,Blazers,Birmingham,Alabama,State,Conference USA
Alabama State University,Hornets and Lady Hornets,Montgomery,Alabama,State,Southwestern Athletic Conference
"University at Albany, SUNY ",Great Danes,Albany,New York,State,America East Conference
Alcorn State University,Braves and Lady Braves,Lorman,Mississippi,State,Southwestern Athletic Conference
American University,Eagles,Washington,District of Columbia,Private/Methodist,Patriot League
Appalachian State University,Mountaineers,Boone,North Carolina,State,Sun Belt Conference
University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
Arizona State University,Sun Devils,Tempe,Arizona,State,Pac-12 Conference
University of Arkansas,Razorbacks and Razorback women,Fayetteville,Arkansas,State,Southeastern Conference
University of Arkansas at Little Rock,Trojans,Little Rock,Arkansas,State,Sun Belt Conference
University of Arkansas at Pine Bluff,Golden Lions and Golden Lady Lions,Pine Bluff,Arkansas,State,Southwestern Athletic Conference
Arkansas State University,Red Wolves,Jonesboro,Arkansas,State,Sun Belt Conference
Auburn University,Tigers,Auburn,Alabama,State,Southeastern Conference
Austin Peay State University,Governors and Lady Govs,Clarksville,Tennessee,State,Ohio Valley Conference
Ball State University,Cardinals,Muncie,Indiana,State,Mid-American Conference
Baylor University,Bears and Lady Bears,Waco,Texas,Private/Baptist,Big 12 Conference
Belmont University,Bruins,Nashville,Tennessee,Private/Christian,Ohio Valley Conference
Bethune-Cookman University,Wildcats,Daytona Beach,Florida,Private/Methodist,Mid-Eastern Athletic Conference
Binghamton University,Bearcats,Vestal,New York,State,America East Conference
Boise State University,Broncos,Boise,Idaho,State,Mountain West Conference
Boston College,Eagles,Chestnut Hill,Massachusetts,Private/Catholic,Atlantic Coast Conference
Boston University,Terriers,Boston,Massachusetts,Private/Non-sectarian,Patriot League
Bowling Green State University,Falcons,Bowling Green,Ohio,State,Mid-American Conference
Bradley University,Braves,Peoria,Illinois,Private/Non-Sectarian,Missouri Valley Conference
Brigham Young University,Cougars,Provo,Utah,Private/Latter-Day Saints,West Coast Conference
Brown University,Bears,Providence,Rhode Island,Private/Non-Sectarian,Ivy League
Bryant University,Bulldogs,Smithfield,Rhode Island,Private/Non-Sectarian,Northeast Conference
Bucknell University,Bison,Lewisburg,Pennsylvania,Private/Non-Sectarian,Patriot League
University at Buffalo,Bulls,Buffalo,New York,State,Mid-American Conference
Butler University,Bulldogs,Indianapolis,Indiana,Private/Non-Sectarian,Big East Conference[a]
"University of California, Berkeley ",Golden Bears,Berkeley,California,State,Pac-12 Conference
"University of California, Davis ",Aggies,Davis,California,State,Big West Conference[b]
"University of California, Irvine ",Anteaters,Irvine,California,State,Big West Conference
"University of California, Los Angeles ",Bruins,Los Angeles,California,State,Pac-12 Conference
California Polytechnic State University,Mustangs,San Luis Obispo,California,State,Big West Conference[b]
"University of California, Riverside ",Highlanders,Riverside,California,State,Big West Conference
"University of California, Santa Barbara ",Gauchos,Santa Barbara,California,State,Big West Conference
"California State University, Bakersfield",Roadrunners,Bakersfield,California,State,Western Athletic Conference[c]
"California State University, Fresno",Bulldogs,Fresno,California,State,Mountain West Conference
"California State University, Fullerton",Titans,Fullerton,California,State,Big West Conference
"California State University, Long Beach",49ers,Long Beach,California,State,Big West Conference
"California State University, Northridge",Matadors,Northridge,California,State,Big West Conference
"California State University, Sacramento",Hornets,Sacramento,California,State,Big Sky Conference
Campbell University,Fighting Camels and Lady Camels,Buies Creek,North Carolina,Private/Baptist,Big South Conference
Canisius College,Golden Griffins,Buffalo,New York,Private/Catholic,Metro Atlantic Athletic Conference
University of Central Arkansas,Bears and Sugar Bears,Conway,Arkansas,State,Southland Conference
Central Connecticut State University,Blue Devils,New Britain,Connecticut,State,Northeast Conference
University of Central Florida,Knights,Orlando,Florida,State,American Athletic Conference
Central Michigan University,Chippewas,Mount Pleasant,Michigan,State,Mid-American Conference
College of Charleston,Cougars,Charleston,South Carolina,State,Colonial Athletic Association
Charleston Southern University,Buccaneers,Charleston,South Carolina,Private/Baptist,Big South Conference
Chicago State University,Cougars,Chicago,Illinois,State,Western Athletic Conference
University of Cincinnati,Bearcats,Cincinnati,Ohio,State,American Athletic Conference
The Citadel,Bulldogs,Charleston,South Carolina,State,Southern Conference
Clemson University,Tigers,Clemson,South Carolina,State,Atlantic Coast Conference
Cleveland State University,Vikings,Cleveland,Ohio,State,Horizon League
Coastal Carolina University,Chanticleers,Conway,South Carolina,State,Sun Belt Conference
Colgate University,Raiders,Hamilton,New York,Private/Non-sectarian,Patriot League
University of Colorado Boulder,Buffaloes,Boulder,Colorado,State,Pac-12 Conference
Colorado State University,Rams,Fort Collins,Colorado,State,Mountain West Conference
Columbia University,Lions,Manhattan,New York,Private/Non-sectarian,Ivy League
University of Connecticut,Huskies,Storrs,Connecticut,State,American Athletic Conference
Coppin State University,Eagles,Baltimore,Maryland,State,Mid-Eastern Athletic Conference
Cornell University,Big Red,Ithaca,New York,Private/Statutory state,Ivy League
Creighton University,Bluejays,Omaha,Nebraska,Private/Catholic,Big East Conference
Dartmouth College,Big Green,Hanover,New Hampshire,Private/Non-sectarian,Ivy League
Davidson College,Wildcats,Davidson,North Carolina,Private/Presbyterian,Atlantic 10 Conference[a]
University of Dayton,Flyers,Dayton,Ohio,Private/Catholic,Atlantic 10 Conference[a]
University of Delaware,Fightin' Blue Hens,Newark,Delaware,Private-state hybrid,Colonial Athletic Association
Delaware State University,Hornets and Lady Hornets,Dover,Delaware,State,Mid-Eastern Athletic Conference
University of Denver,Pioneers,Denver,Colorado,Private/Non-sectarian,The Summit League
DePaul University,Blue Demons,Chicago,Illinois,Private/Catholic,Big East Conference
University of Detroit Mercy,Titans,Detroit,Michigan,Private/Catholic,Horizon League
Drake University,Bulldogs,Des Moines,Iowa,Private/Non-sectarian,Missouri Valley Conference[a]
Drexel University,Dragons,Philadelphia,Pennsylvania,Private/Non-sectarian,Colonial Athletic Association
Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
Duquesne University,Dukes,Pittsburgh,Pennsylvania,Private/Catholic,Atlantic 10 Conference[d]
East Carolina University,Pirates and Lady Pirates,Greenville,North Carolina,State,American Athletic Conference
East Tennessee State University,Buccaneers and Lady Buccaneers,Johnson City,Tennessee,State,Southern Conference
Eastern Illinois University,Panthers,Charleston,Illinois,State,Ohio Valley Conference
Eastern Kentucky University,Colonels,Richmond,Kentucky,State,Ohio Valley Conference
Eastern Michigan University,Eagles,Ypsilanti,Michigan,State,Mid-American Conference
Eastern Washington University,Eagles,Cheney,Washington,State,Big Sky Conference
Elon University,Phoenix,Elon,North Carolina,Private/Non-sectarian,Colonial Athletic Association
University of Evansville,Purple Aces,Evansville,Indiana,Private/Methodist,Missouri Valley Conference
Fairfield University,Stags,Fairfield,Connecticut,Private/Catholic,Metro Atlantic Athletic Conference
Fairleigh Dickinson University,Knights,Hackensack,New Jersey,Private/Non-sectarian,Northeast Conference
University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference
Florida A&M University,Rattlers and Lady Rattlers,Tallahassee,Florida,State,Mid-Eastern Athletic Conference
Florida Atlantic University,Owls,Boca Raton,Florida,State,Conference USA
Florida Gulf Coast University,Eagles,Fort Myers,Florida,State,Atlantic Sun Conference
Florida International University,Panthers,Miami,Florida,State,Conference USA
Florida State University,Seminoles,Tallahassee,Florida,State,Atlantic Coast Conference
Fordham University,Rams,Bronx,New York,Private/Catholic,Atlantic 10 Conference[e]
Furman University,Paladins and Lady Paladins,Greenville,South Carolina,Private/Non-sectarian,Southern Conference
Gardner–Webb University,Runnin' Bulldogs,Boiling Springs,North Carolina,Private/Baptist,Big South Conference
George Mason University,Patriots,Fairfax,Virginia,State,Atlantic 10 Conference
George Washington University,Colonials,Washington,District of Columbia,Private/Non-sectarian,Atlantic 10 Conference
Georgetown University,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference[e]
University of Georgia,Bulldogs and Lady Bulldogs,Athens,Georgia,State,Southeastern Conference
Georgia Institute of Technology,Yellow Jackets,Atlanta,Georgia,State,Atlantic Coast Conference
Georgia Southern University,Eagles and Lady Eagles,Statesboro,Georgia,State,Sun Belt Conference
Georgia State University,Panthers,Atlanta,Georgia,State,Sun Belt Conference
Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference
Grambling State University,Tigers and Lady Tigers,Grambling,Louisiana,State,Southwestern Athletic Conference
Grand Canyon University,Antelopes,Phoenix,Arizona,Private/Christian,Western Athletic Conference
Hampton University,Pirates and Lady Pirates,Hampton,Virginia,Private/Non-sectarian,Big South Conference[f]
